T=800K Start: Tue Apr 28 04:48:35 PM EDT 2026
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (17.559102 17.559102 17.559102)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  501 atoms
  read_data CPU = 0.021 seconds
/home/akinyemi.az/miniforge3/envs/mace-lammps/lib/python3.11/site-packages/e3nn/o3/_wigner.py:10: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  _Jd, _W3j_flat, _W3j_indices = torch.load(os.path.join(os.path.dirname(__file__), 'constants.pt'))
1 atoms in group H_atom
500 atoms in group metal
### Phase 1: Equilibration 250 ps at 800 K ###

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7
  ghost atom cutoff = 7
  binsize = 7, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 89.56 | 89.56 | 89.56 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
         0   800           -2871.7085      51.704058     -2820.0045      11304.257      5413.8588    
      1000   703.50432     -2817.6583      45.467535     -2772.1908      56877.048      5413.8588    
      2000   805.68237     -2825.5517      52.07131      -2773.4804      51446.54       5413.8588    
      3000   838.95413     -2823.0386      54.221666     -2768.8169      54898.646      5413.8588    
      4000   843.91658     -2819.4204      54.542389     -2764.878       57497.886      5413.8588    
      5000   809.50547     -2818.4704      52.318397     -2766.152       58196.032      5413.8588    
      6000   805.01245     -2821.0632      52.028013     -2769.0352      55937.092      5413.8588    
      7000   749.95463     -2818.512       48.469622     -2770.0424      57497.705      5413.8588    
      8000   839.1995      -2820.5823      54.237525     -2766.3448      56230.72       5413.8588    
      9000   781.00063     -2820.1957      50.476127     -2769.7196      55826.039      5413.8588    
     10000   768.51587     -2821.4154      49.669236     -2771.7462      54804.725      5413.8588    
     11000   792.73381     -2820.3096      51.234443     -2769.0751      55699.897      5413.8588    
     12000   769.97047     -2820.4494      49.763247     -2770.6861      55146.325      5413.8588    
     13000   860.12473     -2816.2232      55.589924     -2760.6333      60865.828      5413.8588    
     14000   785.41588     -2817.1394      50.761485     -2766.3779      58427.881      5413.8588    
     15000   814.38695     -2820.0188      52.633888     -2767.3849      56628.896      5413.8588    
     16000   814.30488     -2822.9116      52.628583     -2770.283       54126.512      5413.8588    
     17000   748.92733     -2822.0009      48.403227     -2773.5977      53395.079      5413.8588    
     18000   803.42427     -2821.0134      51.925369     -2769.088       55454.87       5413.8588    
     19000   799.91547     -2817.588       51.698595     -2765.8894      58217.838      5413.8588    
     20000   790.31523     -2819.6501      51.07813      -2768.5719      56798.036      5413.8588    
     21000   789.07682     -2822.6428      50.998092     -2771.6447      54350.444      5413.8588    
     22000   798.00679     -2821.6887      51.575237     -2770.1135      54892.152      5413.8588    
     23000   801.78262     -2815.5656      51.819269     -2763.7463      60150.362      5413.8588    
     24000   845.51985     -2818.5821      54.646009     -2763.9361      58340.031      5413.8588    
     25000   802.16928     -2819.009       51.844259     -2767.1647      58286.612      5413.8588    
     26000   766.35039     -2819.7514      49.529282     -2770.2221      56787.277      5413.8588    
     27000   728.31978     -2821.7091      47.07136      -2774.6377      54363.189      5413.8588    
     28000   828.67799     -2822.6247      53.557519     -2769.0671      53899.107      5413.8588    
     29000   814.65997     -2820.2909      52.651533     -2767.6393      56180.169      5413.8588    
     30000   819.92859     -2819.9421      52.992044     -2766.9501      57103.134      5413.8588    
     31000   783.32135     -2821.7855      50.626116     -2771.1594      54820.932      5413.8588    
     32000   795.19001     -2821.7282      51.393188     -2770.335       54295.924      5413.8588    
     33000   816.74382     -2822.5984      52.786213     -2769.8122      55149.737      5413.8588    
     34000   784.42214     -2818.3559      50.69726      -2767.6586      58314.687      5413.8588    
     35000   821.43475     -2819.3237      53.089387     -2766.2343      56798.316      5413.8588    
     36000   799.10983     -2820.0013      51.646526     -2768.3547      56318.655      5413.8588    
     37000   778.7481      -2822.6969      50.330546     -2772.3664      53814.387      5413.8588    
     38000   800.45168     -2823.3849      51.73325      -2771.6517      53556.761      5413.8588    
     39000   818.67555     -2819.2789      52.91106      -2766.3679      57471.344      5413.8588    
     40000   829.29453     -2820.0779      53.597366     -2766.4805      55906.578      5413.8588    
     41000   793.61649     -2819.4182      51.291491     -2768.1267      57064.895      5413.8588    
     42000   767.89462     -2819.0148      49.629085     -2769.3857      57527.129      5413.8588    
     43000   814.60082     -2820.6834      52.64771      -2768.0357      55502.419      5413.8588    
     44000   802.95245     -2816.3453      51.894875     -2764.4504      59560.997      5413.8588    
     45000   765.4983      -2817.3745      49.474211     -2767.9003      58006.912      5413.8588    
     46000   776.11863     -2821.0996      50.160604     -2770.939       54477.349      5413.8588    
     47000   809.52504     -2820.4988      52.319662     -2768.1791      55988.388      5413.8588    
     48000   797.97518     -2818.8959      51.573194     -2767.3227      57700.772      5413.8588    
     49000   764.17059     -2819.2703      49.3884       -2769.8819      57164.811      5413.8588    
     50000   811.98395     -2822.8875      52.478582     -2770.4089      53942.145      5413.8588    
     51000   810.56042     -2819.4498      52.386579     -2767.0632      56640.285      5413.8588    
     52000   848.31948     -2818.605       54.826949     -2763.7781      58468.309      5413.8588    
     53000   783.00035     -2819.3917      50.60537      -2768.7864      56736.973      5413.8588    
     54000   833.71743     -2821.4574      53.883218     -2767.5742      55503.08       5413.8588    
     55000   821.26139     -2817.2378      53.078183     -2764.1597      59212.255      5413.8588    
     56000   821.30726     -2817.3585      53.081148     -2764.2774      58758.65       5413.8588    
     57000   809.34901     -2820.7124      52.308285     -2768.4041      56196.861      5413.8588    
     58000   789.05165     -2821.6617      50.996465     -2770.6653      54690.923      5413.8588    
     59000   747.0925      -2820.1402      48.284642     -2771.8555      55220.234      5413.8588    
     60000   822.37368     -2820.2367      53.15007      -2767.0866      56795.724      5413.8588    
     61000   823.14833     -2816.2127      53.200136     -2763.0126      59531.267      5413.8588    
     62000   823.7658      -2817.7157      53.240043     -2764.4756      59382.824      5413.8588    
     63000   733.41169     -2817.7415      47.40045      -2770.3411      57755.853      5413.8588    
     64000   738.78464     -2819.9112      47.747705     -2772.1635      56533.936      5413.8588    
     65000   805.0485      -2820.4439      52.030343     -2768.4135      57085.475      5413.8588    
     66000   785.57014     -2816.63        50.771455     -2765.8586      59560.096      5413.8588    
     67000   809.86621     -2819.1439      52.341712     -2766.8022      57285.544      5413.8588    
     68000   812.33223     -2821.9492      52.501091     -2769.4481      54774.259      5413.8588    
     69000   803.48429     -2821.3878      51.929248     -2769.4586      55055.736      5413.8588    
     70000   812.12052     -2819.568       52.487408     -2767.0806      57391.805      5413.8588    
     71000   839.71467     -2816.0146      54.27082      -2761.7437      60556.671      5413.8588    
     72000   806.85479     -2822.3019      52.147084     -2770.1549      54559.976      5413.8588    
     73000   756.91665     -2820.1533      48.919578     -2771.2337      55538.89       5413.8588    
     74000   771.60629     -2821.6291      49.868971     -2771.7602      54873.448      5413.8588    
     75000   809.16302     -2819.623       52.296265     -2767.3268      56427.986      5413.8588    
     76000   798.40691     -2822.6467      51.601097     -2771.0456      54236.389      5413.8588    
     77000   780.11953     -2820.0279      50.419182     -2769.6087      56345.715      5413.8588    
     78000   830.62622     -2817.9639      53.683433     -2764.2805      58430.885      5413.8588    
     79000   803.00964     -2817.0326      51.898571     -2765.134       59336.129      5413.8588    
     80000   761.10889     -2819.2507      49.190522     -2770.0602      56900.747      5413.8588    
     81000   799.03249     -2822.3111      51.641528     -2770.6695      54474.682      5413.8588    
     82000   804.23258     -2821.7034      51.97761      -2769.7258      54761.336      5413.8588    
     83000   834.68755     -2820.2808      53.945917     -2766.3348      56668.381      5413.8588    
     84000   774.9143      -2818.1835      50.082767     -2768.1007      57856.695      5413.8588    
     85000   787.79005     -2821.829       50.914928     -2770.9141      54962.711      5413.8588    
     86000   808.1115      -2823.627       52.228305     -2771.3987      53448.484      5413.8588    
     87000   808.0964      -2819.9046      52.227329     -2767.6773      56932.087      5413.8588    
     88000   843.83505     -2818.6281      54.537121     -2764.091       58176.614      5413.8588    
     89000   827.82344     -2817.7471      53.502289     -2764.2448      58861.71       5413.8588    
     90000   796.05608     -2821.766       51.449162     -2770.3169      54403.295      5413.8588    
     91000   798.12315     -2820.9734      51.582757     -2769.3906      55416.204      5413.8588    
     92000   854.58617     -2817.1465      55.231966     -2761.9145      60250.548      5413.8588    
     93000   824.06516     -2818.4609      53.259391     -2765.2015      58757.883      5413.8588    
